ID,Hour,value
p3017,323,0.0142
p3018,323,0.0028
p3019,323,0.0065
p3020,323,0.0033
p3021,323,0.02
p3022,323,0.0425
p3023,323,0.0
p3024,323,0.0
p3025,323,0.0196
p3026,323,0.0
p3027,323,0.0
p3028,323,0.0
p3029,323,0.0
p3030,323,0.0
p3031,323,0.0
p3032,323,0.0
p3033,323,0.0
p3034,323,0.0093
p3035,323,0.0116
p3036,323,0.0
p3037,323,0.0
p3038,323,0.0
p3039,323,0.0
p3040,323,0.0
p3041,323,0.0
p3042,323,0.00953
p3043,323,0.0
p3044,323,0.0046
p3045,323,0.0
p3046,323,0.0
p3047,323,0.0578
p3048,323,0.0044
p3049,323,0.0
p3050,323,0.0
p3051,323,0.0
p3052,323,0.0
p3053,323,0.0
p3054,323,0.0234
p3055,323,0.0
p3056,323,0.0
p3057,323,0.0
p3058,323,0.0
p168,324,0.0
p176,324,0.0
p177,324,0.0
p185,324,0.0
p190,324,0.0
p191,324,0.0
p192,324,0.0
p193,324,0.0
p194,324,0.0
p195,324,0.0
p198,324,0.0
p199,324,0.0
p202,324,0.0
p205,324,0.0
p212,324,0.0
p213,324,0.0
p219,324,0.0
p220,324,0.0
p221,324,0.0
p222,324,0.0
p223,324,0.0
p224,324,0.0
p271,324,68.3078101784324
p278,324,0.0
p282,324,0.0
p285,324,0.0
p2752,324,0.0163
p2753,324,0.0065
p2754,324,0.0
p2755,324,0.0
p2756,324,0.0
p2757,324,0.0
p2758,324,0.0
p2759,324,0.0
p2760,324,0.0
p2761,324,0.05176
p2762,324,0.0
p2763,324,0.0
p2764,324,0.0365
p2765,324,0.0144
p2766,324,0.0
p2767,324,0.0
p2768,324,0.0
p2769,324,0.0
p2770,324,0.0
p2771,324,0.0123
p2772,324,0.0
p2773,324,0.0
p2774,324,0.0
p2775,324,0.0
p2776,324,0.0
p2777,324,0.0
p2778,324,0.0
p2779,324,0.0
p2780,324,0.0
p2781,324,0.0386
p2782,324,0.0
p2783,324,0.0
p2784,324,0.0
p2785,324,0.0
p2786,324,0.0
p2787,324,0.0
p2788,324,0.03505
p2789,324,0.0
p2790,324,0.0
p2791,324,0.0
p2792,324,0.0
p2793,324,0.0135
p2794,324,0.0033
p2795,324,0.0
p2796,324,0.0
p2797,324,0.015
p2798,324,0.0
p2799,324,0.0
p2800,324,0.0
p2801,324,0.03211
p2802,324,0.0
p2803,324,0.0
p2804,324,0.0
p2805,324,0.0508
p2806,324,0.0
p2807,324,0.011
p2808,324,0.0
p2809,324,0.0
p2810,324,0.0
p2811,324,0.0
p2812,324,0.0
p2813,324,0.0
p2814,324,0.0244
p2815,324,0.0
p2816,324,0.0
p2817,324,0.0
p2818,324,0.0
p2819,324,0.0
p2820,324,0.0
p2821,324,0.0
p2822,324,0.01
p2823,324,0.0
p2824,324,0.0
p2825,324,0.0
p2826,324,0.0
p2827,324,0.0
p2828,324,0.0
p2829,324,0.0
p2830,324,0.0
p2831,324,0.0
p2832,324,0.0
p2833,324,0.0
p2834,324,0.0
p2835,324,0.0
p2836,324,0.0
p2837,324,0.0
p2838,324,0.0
p2839,324,0.0
p2840,324,0.0
p2841,324,0.0
p2842,324,0.0
p2843,324,0.0
p2844,324,0.0
p2845,324,0.0351
p2846,324,0.0
p2847,324,0.0
p2848,324,0.0
p2849,324,0.0
p2850,324,0.0
p2851,324,0.0
p2852,324,0.0
p2853,324,0.0
p2854,324,0.0
p2855,324,0.0
p2856,324,0.0
p2857,324,0.0
p2858,324,0.0
p2859,324,0.0
p2860,324,0.0
p2861,324,0.0
p2862,324,0.0
p2863,324,0.0
p2864,324,0.0
p2865,324,0.0
p2866,324,0.0
p2867,324,0.0
p2868,324,0.0
p2869,324,0.0
p2870,324,0.0
p2871,324,0.0
p2872,324,0.0
p2873,324,0.0
p2874,324,0.0
p2875,324,0.0
p2876,324,0.0
p2877,324,0.0
p2878,324,0.0
p2879,324,0.017
p2880,324,0.0
p2881,324,0.0
p2882,324,0.0
p2883,324,0.0
p2884,324,0.0
p2885,324,0.0
p2886,324,0.0
p2887,324,0.0
p2888,324,0.0
p2889,324,0.0
p2890,324,0.0
p2891,324,0.0
p2892,324,0.0
p2893,324,0.08548
p2894,324,0.0
p2895,324,0.0
p2896,324,0.0
p2897,324,0.0
p2898,324,0.0
p2899,324,0.0
p2900,324,0.0
p2901,324,0.0
p2902,324,0.0
p2903,324,0.0
p2904,324,0.0
p2905,324,0.0
p2906,324,0.0
p2907,324,0.0
p2908,324,0.0
p2909,324,0.0
p2910,324,0.0
p2911,324,0.0
p2912,324,0.0
p2913,324,0.0
p2914,324,0.0
p2915,324,0.0
p2916,324,0.0
p2917,324,0.0
p2918,324,0.0
p2919,324,0.0
p2920,324,0.0
p2921,324,0.0
p2922,324,0.006
p2923,324,0.0
p2924,324,0.0
p2925,324,0.0
p2926,324,0.0
p2927,324,0.0
p2928,324,0.0
p2929,324,0.0152
p2930,324,0.0
p2931,324,0.0
p2932,324,0.0
p2933,324,0.0
p2934,324,0.0
p2935,324,0.0128
p2936,324,0.0
p2937,324,0.0
p2938,324,0.0
p2939,324,0.0
p2940,324,0.0
p2941,324,0.0
p2942,324,0.0
p2943,324,0.0
p2944,324,0.0
p2945,324,0.0
p2946,324,0.0115
p2947,324,0.0
p2948,324,0.0
p2949,324,0.0
p2950,324,0.0
p2951,324,0.0
p2952,324,0.0
p2953,324,0.0
p2954,324,0.0
p2955,324,0.0
p2956,324,0.0
p2957,324,0.0
p2958,324,0.0
p2959,324,0.01568
p2960,324,0.0
p2961,324,0.0
p2962,324,0.066
p2963,324,0.0
p2964,324,0.0
p2965,324,0.0
p2966,324,0.0
p2967,324,0.0
p2968,324,0.0
p2969,324,0.0
p2970,324,0.0
p2971,324,0.0
p2972,324,0.0025
p2973,324,0.0
p2974,324,0.0
p2975,324,0.0
